# File generated with https://github.com/funilrys/funceble
# Date of generation: Fri Nov 10 00:50:30 UTC 2017


Domain                                                                                               Status      HTTP Code  Analyse Date        
---------------------------------------------------------------------------------------------------- ----------- ---------- -------------------------------
a.admob.com                                                                                          INACTIVE    000        Fri Nov 10 00:50:31 UTC 2017
ad1.adinfuse.com                                                                                     INACTIVE    000        Fri Nov 10 00:50:33 UTC 2017
ad2.adinfuse.com                                                                                     INACTIVE    000        Fri Nov 10 00:50:34 UTC 2017
ad.madvertise.de                                                                                     INACTIVE    000        Fri Nov 10 00:50:38 UTC 2017
admicro2.vcmedia.vn                                                                                  INACTIVE    000        Fri Nov 10 00:50:39 UTC 2017
ads2.mediaarmor.com                                                                                  INACTIVE    000        Fri Nov 10 00:50:44 UTC 2017
ads.adiquity.com                                                                                     INACTIVE    000        Fri Nov 10 00:50:50 UTC 2017
ads.admoda.com                                                                                       INACTIVE    000        Fri Nov 10 00:50:51 UTC 2017
adserver.ubiyoo.com                                                                                  INACTIVE    000        Fri Nov 10 00:50:52 UTC 2017
ads.mdotm.com                                                                                        INACTIVE    000        Fri Nov 10 00:50:53 UTC 2017
ads.mobgold.com                                                                                      INACTIVE    000        Fri Nov 10 00:50:55 UTC 2017
ads.n-ws.org                                                                                         INACTIVE    000        Fri Nov 10 00:50:57 UTC 2017
ads.ookla.com                                                                                        INACTIVE    000        Fri Nov 10 00:50:57 UTC 2017
adsrv1.tapad.com                                                                                     INACTIVE    000        Fri Nov 10 00:50:57 UTC 2017
ads.smartdevicemedia.com                                                                             INACTIVE    000        Fri Nov 10 00:50:58 UTC 2017
analytics.admob.com                                                                                  INACTIVE    000        Fri Nov 10 00:51:05 UTC 2017
apps.buzzcity.net                                                                                    INACTIVE    000        Fri Nov 10 00:51:14 UTC 2017
atti.velti.com                                                                                       INACTIVE    000        Fri Nov 10 00:51:19 UTC 2017
c01.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:54 UTC 2017
c02.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:55 UTC 2017
c03.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:55 UTC 2017
c04.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:56 UTC 2017
c05.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:56 UTC 2017
c06.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:57 UTC 2017
c07.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:57 UTC 2017
c08.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:58 UTC 2017
c09.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:58 UTC 2017
c10.smaato.net                                                                                       INACTIVE    000        Fri Nov 10 00:51:59 UTC 2017
