# File generated with https://github.com/funilrys/funceble
# Date of generation: Wed Oct 25 07:23:14 UTC 2017


Domain                                                                                               Status      HTTP Code  Analyse Date        
---------------------------------------------------------------------------------------------------- ----------- ---------- -------------------------------
a.applovin.com                                                                                       ACTIVE      404        Wed Oct 25 07:23:15 UTC 2017
aax-us-east.amazon-adsystem.com                                                                      ACTIVE      404        Wed Oct 25 07:23:16 UTC 2017
ads.adadapted.com                                                                                    ACTIVE      404        Wed Oct 25 07:23:39 UTC 2017
ads.admarvel.com                                                                                     ACTIVE      403        Wed Oct 25 07:23:40 UTC 2017
ads.celtra.com                                                                                       ACTIVE      404        Wed Oct 25 07:23:41 UTC 2017
ads.flurry.com                                                                                       ACTIVE      404        Wed Oct 25 07:23:42 UTC 2017
ads.matomymobile.com                                                                                 ACTIVE      404        Wed Oct 25 07:23:43 UTC 2017
ads.mobclix.com                                                                                      ACTIVE      400        Wed Oct 25 07:23:44 UTC 2017
a.glcdn.co                                                                                           ACTIVE      404        Wed Oct 25 07:23:52 UTC 2017
android.bcfads.com                                                                                   ACTIVE      403        Wed Oct 25 07:23:55 UTC 2017
an.yandex.ru                                                                                         ACTIVE      404        Wed Oct 25 07:23:57 UTC 2017
aos.wall.youmi.net                                                                                   ACTIVE      403        Wed Oct 25 07:23:58 UTC 2017
api.yp.com                                                                                           ACTIVE      404        Wed Oct 25 07:24:00 UTC 2017
banners.bigmobileads.com                                                                             ACTIVE      403        Wed Oct 25 07:24:07 UTC 2017
c753738.r38.cf2.rackcdn.com                                                                          ACTIVE      404        Wed Oct 25 07:25:05 UTC 2017
c.admob.com                                                                                          ACTIVE      404        Wed Oct 25 07:25:07 UTC 2017
campaign-tapad.s3.amazonaws.com                                                                      ACTIVE      403        Wed Oct 25 07:25:08 UTC 2017
cdn1.inner-active.mobi                                                                               ACTIVE      403        Wed Oct 25 07:25:10 UTC 2017
cdn.creative.medialytics.com                                                                         ACTIVE      403        Wed Oct 25 07:25:14 UTC 2017
c.vrvm.com                                                                                           ACTIVE      404        Wed Oct 25 07:25:24 UTC 2017
d2bgg7rjywcwsy.cloudfront.net                                                                        ACTIVE      403        Wed Oct 25 07:25:26 UTC 2017
d.applovin.com                                                                                       ACTIVE      404        Wed Oct 25 07:25:28 UTC 2017
data.mobclix.com                                                                                     ACTIVE      400        Wed Oct 25 07:25:29 UTC 2017
edge.reporo.net                                                                                      ACTIVE      404        Wed Oct 25 07:25:35 UTC 2017
ftpcontent.worldnow.com                                                                              ACTIVE      404        Wed Oct 25 07:26:09 UTC 2017
go.vrvm.com                                                                                          ACTIVE      404        Wed Oct 25 07:26:13 UTC 2017
hhbekxxw5d9e.pflexads.com                                                                            ACTIVE      403        Wed Oct 25 07:26:16 UTC 2017
html5adkit.plusmo.s3.amazonaws.com                                                                   ACTIVE      403        Wed Oct 25 07:26:16 UTC 2017
hybl9bazbc35.pflexads.com                                                                            ACTIVE      403        Wed Oct 25 07:26:17 UTC 2017
i.jumptap.com                                                                                        ACTIVE      403        Wed Oct 25 07:26:19 UTC 2017
img.ads1.mocean.mobi                                                                                 ACTIVE      404        Wed Oct 25 07:26:24 UTC 2017
img.ads1.mojiva.com                                                                                  ACTIVE      404        Wed Oct 25 07:26:24 UTC 2017
img.ads2.mocean.mobi                                                                                 ACTIVE      404        Wed Oct 25 07:26:24 UTC 2017
img.ads2.mojiva.com                                                                                  ACTIVE      404        Wed Oct 25 07:26:25 UTC 2017
img.ads3.mocean.mobi                                                                                 ACTIVE      404        Wed Oct 25 07:26:25 UTC 2017
img.ads3.mojiva.com                                                                                  ACTIVE      404        Wed Oct 25 07:26:26 UTC 2017
img.ads4.mojiva.com                                                                                  ACTIVE      404        Wed Oct 25 07:26:27 UTC 2017
img.ads.mojiva.com                                                                                   ACTIVE      404        Wed Oct 25 07:26:29 UTC 2017
inneractive-assets.s3.amazonaws.com                                                                  ACTIVE      403        Wed Oct 25 07:26:31 UTC 2017
i.tapit.com                                                                                          ACTIVE      404        Wed Oct 25 07:26:32 UTC 2017
i.w.inmobi.com                                                                                       ACTIVE      404        Wed Oct 25 07:26:33 UTC 2017
m2m1.inner-active.mobi                                                                               ACTIVE      400        Wed Oct 25 07:26:38 UTC 2017
mdn1.phluantmobile.net                                                                               ACTIVE      404        Wed Oct 25 07:26:40 UTC 2017
media.mobpartner.mobi                                                                                ACTIVE      403        Wed Oct 25 07:26:46 UTC 2017
mobileads.msn.com                                                                                    ACTIVE      403        Wed Oct 25 07:26:49 UTC 2017
mobile.banzai.it                                                                                     ACTIVE      403        Wed Oct 25 07:26:50 UTC 2017
mobiledl.adobe.com                                                                                   ACTIVE      400        Wed Oct 25 07:26:51 UTC 2017
orencia.pflexads.com                                                                                 ACTIVE      403        Wed Oct 25 07:27:02 UTC 2017
pagead2.googlesyndication.com                                                                        ACTIVE      404        Wed Oct 25 07:27:04 UTC 2017
pdn.applovin.com                                                                                     ACTIVE      404        Wed Oct 25 07:27:05 UTC 2017
px.cdn.creative.medialytics.com                                                                      ACTIVE      400        Wed Oct 25 07:27:09 UTC 2017
r.edge.inmobicdn.net                                                                                 ACTIVE      403        Wed Oct 25 07:27:10 UTC 2017
