# File generated with https://github.com/funilrys/funceble
# Date of generation: Thu Nov  9 08:05:22 UTC 2017


Domain                                                                                               Status      Expiration Date   Source     HTTP Code  Analyse Date        
---------------------------------------------------------------------------------------------------- ----------- ----------------- ---------- ---------- -------------------------------
coreclickhoo.com                                                                                     ACTIVE      31-oct-2018       WHOIS      302        Thu Nov  9 08:05:29 UTC 2017
tube.exclusiotv.be                                                                                   ACTIVE      Unknown           NSLOOKUP   403        Thu Nov  9 08:05:46 UTC 2017
www.coreclickhoo.com                                                                                 ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:05:50 UTC 2017
www.kazaa.com                                                                                        ACTIVE      Unknown           NSLOOKUP   Unknown    Thu Nov  9 08:06:04 UTC 2017
x3.xclicks.net                                                                                       ACTIVE      Unknown           NSLOOKUP   200        Thu Nov  9 08:06:14 UTC 2017
www.kazaa.com                                                                                        ACTIVE      Unknown           NSLOOKUP   Unknown    Thu Nov  9 08:06:21 UTC 2017
x3.xclicks.net                                                                                       ACTIVE      Unknown           NSLOOKUP   200        Thu Nov  9 08:06:22 UTC 2017
6.bbnface.com                                                                                        ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:23 UTC 2017
6.mamaswishes.com                                                                                    ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:24 UTC 2017
www.cybermecca.com                                                                                   ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:24 UTC 2017
www.kazaa.com                                                                                        ACTIVE      Unknown           NSLOOKUP   Unknown    Thu Nov  9 08:06:25 UTC 2017
www.kazaa.com                                                                                        ACTIVE      Unknown           NSLOOKUP   Unknown    Thu Nov  9 08:06:27 UTC 2017
www.legendofdragoon.com                                                                              ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:27 UTC 2017
www.lottoga.com                                                                                      ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:28 UTC 2017
www.maconbraves.com                                                                                  ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:28 UTC 2017
www.myshovel.com                                                                                     ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:29 UTC 2017
www.smartgiveaway.com                                                                                ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:29 UTC 2017
x3.xclicks.net                                                                                       ACTIVE      Unknown           NSLOOKUP   200        Thu Nov  9 08:06:30 UTC 2017
x3.xclicks.net                                                                                       ACTIVE      Unknown           NSLOOKUP   200        Thu Nov  9 08:06:31 UTC 2017
xpath.syncrvprodist.com                                                                              ACTIVE      Unknown           NSLOOKUP   302        Thu Nov  9 08:06:31 UTC 2017
