# File generated with https://github.com/funilrys/funceble
# Date of generation: Fri Oct 13 02:27:57 UTC 2017


Domain                                                                                               Status      HTTP Code  Analyse Date        
---------------------------------------------------------------------------------------------------- ----------- ---------- -------------------------------
4d5.net                                                                                              ACTIVE      404        Fri Oct 13 02:28:10 UTC 2017
51yes.com                                                                                            ACTIVE      400        Fri Oct 13 02:28:12 UTC 2017
a32.g.a.yimg.com                                                                                     ACTIVE      400        Fri Oct 13 02:28:20 UTC 2017
a.aproductmsg.com                                                                                    ACTIVE      403        Fri Oct 13 02:28:22 UTC 2017
a.collective-media.net                                                                               ACTIVE      403        Fri Oct 13 02:28:27 UTC 2017
ad.a8.net                                                                                            ACTIVE      404        Fri Oct 13 02:28:51 UTC 2017
ad.abum.com                                                                                          ACTIVE      404        Fri Oct 13 02:28:53 UTC 2017
adaction.de                                                                                          ACTIVE      403        Fri Oct 13 02:28:54 UTC 2017
ad.altervista.org                                                                                    ACTIVE      404        Fri Oct 13 02:28:56 UTC 2017
adap.tv                                                                                              ACTIVE      404        Fri Oct 13 02:28:59 UTC 2017
ad.auditude.com                                                                                      ACTIVE      404        Fri Oct 13 02:29:00 UTC 2017
ad.bnmla.com                                                                                         ACTIVE      404        Fri Oct 13 02:29:07 UTC 2017
adcast.deviantart.com                                                                                ACTIVE      404        Fri Oct 13 02:29:21 UTC 2017
ad.domainfactory.de                                                                                  ACTIVE      403        Fri Oct 13 02:29:42 UTC 2017
adexchangegate.com                                                                                   ACTIVE      403        Fri Oct 13 02:29:46 UTC 2017
adexchangeprediction.com                                                                             ACTIVE      403        Fri Oct 13 02:29:46 UTC 2017
adext.inkclub.com                                                                                    ACTIVE      403        Fri Oct 13 02:29:48 UTC 2017
ad.foxnetworks.com                                                                                   ACTIVE      400        Fri Oct 13 02:29:54 UTC 2017
adgardener.com                                                                                       ACTIVE      404        Fri Oct 13 02:29:56 UTC 2017
adimage.asiaone.com.sg                                                                               ACTIVE      400        Fri Oct 13 02:30:15 UTC 2017
adimage.guardian.co.uk                                                                               ACTIVE      403        Fri Oct 13 02:30:16 UTC 2017
adimg1.chosun.com                                                                                    ACTIVE      404        Fri Oct 13 02:30:24 UTC 2017
adimg.uimserv.net                                                                                    ACTIVE      404        Fri Oct 13 02:30:29 UTC 2017
adjix.com                                                                                            ACTIVE      403        Fri Oct 13 02:30:41 UTC 2017
ad.keenspace.com                                                                                     ACTIVE      403        Fri Oct 13 02:30:46 UTC 2017
ad.lupa.cz                                                                                           ACTIVE      403        Fri Oct 13 02:30:54 UTC 2017
adnet.asahi.com                                                                                      ACTIVE      404        Fri Oct 13 02:31:22 UTC 2017
adnet-media.net                                                                                      ACTIVE      404        Fri Oct 13 02:31:25 UTC 2017
adnetworkperformance.com                                                                             ACTIVE      403        Fri Oct 13 02:31:27 UTC 2017
adrotate.de                                                                                          ACTIVE      404        Fri Oct 13 02:32:03 UTC 2017
ads10.speedbit.com                                                                                   ACTIVE      403        Fri Oct 13 02:32:05 UTC 2017
ads2.contentabc.com                                                                                  ACTIVE      403        Fri Oct 13 02:32:14 UTC 2017
ads3.contentabc.com                                                                                  ACTIVE      403        Fri Oct 13 02:32:22 UTC 2017
ads3.virtual-nights.com                                                                              ACTIVE      404        Fri Oct 13 02:32:24 UTC 2017
ads5.virtual-nights.com                                                                              ACTIVE      404        Fri Oct 13 02:32:32 UTC 2017
ads.adfox.ru                                                                                         ACTIVE      403        Fri Oct 13 02:32:38 UTC 2017
ads.administrator.de                                                                                 ACTIVE      403        Fri Oct 13 02:32:39 UTC 2017
ads.adultfriendfinder.com                                                                            ACTIVE      404        Fri Oct 13 02:32:40 UTC 2017
ads.ak.facebook.com.edgesuite.net                                                                    ACTIVE      400        Fri Oct 13 02:32:43 UTC 2017
ads.alt.com                                                                                          ACTIVE      404        Fri Oct 13 02:32:45 UTC 2017
ads.amigos.com                                                                                       ACTIVE      404        Fri Oct 13 02:32:47 UTC 2017
ads.asiafriendfinder.com                                                                             ACTIVE      404        Fri Oct 13 02:32:54 UTC 2017
ads.aspalliance.com                                                                                  ACTIVE      404        Fri Oct 13 02:32:56 UTC 2017
ads.betfair.com                                                                                      ACTIVE      403        Fri Oct 13 02:33:07 UTC 2017
ads.bigchurch.com                                                                                    ACTIVE      404        Fri Oct 13 02:33:09 UTC 2017
ads.bigfoot.com                                                                                      ACTIVE      403        Fri Oct 13 02:33:09 UTC 2017
ads.bittorrent.com                                                                                   ACTIVE      404        Fri Oct 13 02:33:10 UTC 2017
ads.bumq.com                                                                                         ACTIVE      403        Fri Oct 13 02:33:18 UTC 2017
ads.canalblog.com                                                                                    ACTIVE      404        Fri Oct 13 02:33:22 UTC 2017
ads.cc                                                                                               ACTIVE      404        Fri Oct 13 02:33:26 UTC 2017
ads.cc-dt.com                                                                                        ACTIVE      404        Fri Oct 13 02:33:26 UTC 2017
ads.centraliprom.com                                                                                 ACTIVE      404        Fri Oct 13 02:33:27 UTC 2017
ads.cgnetworks.com                                                                                   ACTIVE      404        Fri Oct 13 02:33:28 UTC 2017
ads.contextweb.com                                                                                   ACTIVE      404        Fri Oct 13 02:33:37 UTC 2017
ads.creative-serving.com                                                                             ACTIVE      404        Fri Oct 13 02:33:40 UTC 2017
ads.datingyes.com                                                                                    ACTIVE      404        Fri Oct 13 02:33:46 UTC 2017
ads.dennisnet.co.uk                                                                                  ACTIVE      403        Fri Oct 13 02:33:50 UTC 2017
ads.deviantart.com                                                                                   ACTIVE      404        Fri Oct 13 02:33:54 UTC 2017
ads.domain.com                                                                                       ACTIVE      404        Fri Oct 13 02:33:59 UTC 2017
ads.eagletribune.com                                                                                 ACTIVE      403        Fri Oct 13 02:34:01 UTC 2017
ads.easy-forex.com                                                                                   ACTIVE      403        Fri Oct 13 02:34:02 UTC 2017
ad.sensismediasmart.com.au                                                                           ACTIVE      404        Fri Oct 13 02:34:15 UTC 2017
adserver1.backbeatmedia.com                                                                          ACTIVE      403        Fri Oct 13 02:34:19 UTC 2017
adserver.bing.com                                                                                    ACTIVE      400        Fri Oct 13 02:34:32 UTC 2017
adserver.break-even.it                                                                               ACTIVE      403        Fri Oct 13 02:34:33 UTC 2017
adserver.dotcommedia.de                                                                              ACTIVE      403        Fri Oct 13 02:34:37 UTC 2017
adserver.viagogo.com                                                                                 ACTIVE      404        Fri Oct 13 02:35:11 UTC 2017
adserver.yahoo.com                                                                                   ACTIVE      404        Fri Oct 13 02:35:13 UTC 2017
ads.expat-blog.biz                                                                                   ACTIVE      404        Fri Oct 13 02:35:19 UTC 2017
ads.fairfax.com.au                                                                                   ACTIVE      403        Fri Oct 13 02:35:25 UTC 2017
ads.foxnews.com                                                                                      ACTIVE      403        Fri Oct 13 02:35:40 UTC 2017
ads.friendfinder.com                                                                                 ACTIVE      404        Fri Oct 13 02:35:42 UTC 2017
ads.futurenet.com                                                                                    ACTIVE      404        Fri Oct 13 02:35:43 UTC 2017
ads.gamershell.com                                                                                   ACTIVE      403        Fri Oct 13 02:35:45 UTC 2017
ads.glispa.com                                                                                       ACTIVE      404        Fri Oct 13 02:35:49 UTC 2017
ads.gmodules.com                                                                                     ACTIVE      404        Fri Oct 13 02:35:50 UTC 2017
ads.gradfinder.com                                                                                   ACTIVE      404        Fri Oct 13 02:35:52 UTC 2017
ads.grindinggears.com                                                                                ACTIVE      403        Fri Oct 13 02:35:53 UTC 2017
ads.hollywood.com                                                                                    ACTIVE      404        Fri Oct 13 02:36:02 UTC 2017
adshost1.com                                                                                         ACTIVE      404        Fri Oct 13 02:36:03 UTC 2017
